vn_id,rid,vn_title,age_rating,vn_length_str,vn_length_h,has_anime,is_nukige
v1055,r2067,Aguni ~Unmei no Saki~,0,2-10 h,1.503,f,f
v1056,r2365,MYTH,0,10-30 h,19.559,f,f
v1060,r29840,MinDeaD BlooD ~Shihaisha no Tame no Kyoushikyoku~,18,30-50 h,28.087,f,f
v1062,r2077,3jigen Shoujo o Hogo Shimashita,18,2-10 h,5.167,f,f
v1063,r23944,Kurukuru Fanatic,18,10-30 h,13.311,f,f
v1065,r8455,Saishuu Chikan Densha 2,18,10-30 h,12.000,t,f
v1069,r2088,Gunjou no Sora o Koete,18,30-50 h,42.500,f,f
v1070,r5501,Rasen Kairou,18,10-30 h,19.333,t,f
v1071,r14710,In'youchuu Shoku ~Ryoushokutou Taimaroku~,18,10-30 h,9.500,t,t
v1072,r2093,Princess Witches,18,10-30 h,26.600,f,f
v1073,r2095,Aozora no Mieru Oka,18,Unknown,28.000,f,f
v1074,r2097,Imitation Lover,18,10-30 h,31.225,f,f
v1076,r45733,Laughter Land,18,30-50 h,17.328,f,f
v1077,r2103,Teikoku Sensenki,18,30-50 h,27.350,f,f
v1078,r2106,In'youchuu ~Ryoujoku Gakuen Taimaroku~,18,10-30 h,7.000,t,t
v1079,r2107,Honoo no Haramase Tenkousei,18,2-10 h,47.000,t,t
v1083,r2111,Kakyuusei 2,18,10-30 h,26.667,t,f
v1085,r34751,3days ~Michiteyuku Toki no Kanata de~,18,10-30 h,28.881,f,f
v1087,r8457,Saishuu Chikan Densha,18,10-30 h,12.000,t,f
v1091,r9093,Mahou Shoujo Ai,18,10-30 h,8.667,t,f
v1092,r2121,Shin Mikagura Shoujo Tanteidan,18,10-30 h,12.592,t,f
v1094,r5947,Hoshizora ☆ Planet,18,10-30 h,17.317,f,f
v1099,r2131,Secret Game ~Killer Queen~,17,10-30 h,27.440,f,f
v1106,r4867,Gibo Shimai,18,10-30 h,10.000,f,f
v1107,r5213,"Hateshinaku Aoi, Kono Sora no Shita de...",18,10-30 h,33.383,f,f
v1111,r2143,Mamanyonyo,18,10-30 h,20.000,f,f
v1113,r2145,"Tenohira o, Taiyou ni",18,10-30 h,23.517,f,f
v1115,r15657,Sore wa Maichiru Sakura no You ni,18,10-30 h,26.806,f,f
v1125,r2161,Tsumamigui,18,2-10 h,8.283,t,t
v1126,r6471,Hajimete no Orusuban,18,2-10 h,7.000,t,t
v1130,r4577,Shuusaku,18,10-30 h,11.781,t,t
v1131,r4574,Kisaku,18,10-30 h,16.750,t,f
v1134,r2171,Elysion ~Eien no Sanctuary~,18,10-30 h,27.000,f,f
v1136,r2176,Aka,18,10-30 h,23.571,f,f
v1141,r14280,Ore-tachi ni Tsubasa wa Nai ―――under the innocent sky.,15,50+ h,64.864,t,f
v1142,r2182,La Vie de Chateau,18,10-30 h,15.000,f,f
v1143,r3395,Maji de Watashi ni Koi Shinasai!,18,50+ h,60.785,t,f
v1145,r2185,VenusBlood -CHIMERA-,18,10-30 h,15.000,f,t
v1149,r2190,Castle Fantasia,18,10-30 h,8.400,f,f
v1151,r2195,Myself;Yourself,12,Unknown,37.500,t,f
v1152,r2196,Memories Off,12,10-30 h,22.755,t,f
v1153,r2199,Memories Off 2nd,12,10-30 h,27.178,t,f
v1155,r2885,Kikouyoku Senki Tenkuu no Yumina,0,30-50 h,74.831,f,f
v1159,r2206,Kokorono,18,10-30 h,22.000,f,f
v1160,r33078,Musumaker,18,30-50 h,20.000,f,f
v1161,r2209,Omega no Shikai -Aki Kaketa Shiki no Ai-,15,Unknown,11.044,f,f
v1162,r78599,Omega no Shikai -1. Shiki no Hajimari-,15,10-30 h,13.467,f,f
v1163,r29330,Kagiroi ~Shaku Kei~,0,10-30 h,20.000,t,f
v1165,r2213,"Kimi ga Yobu, Megiddo no Oka de",18,30-50 h,49.000,f,f
v1166,r2214,Sumeragi Ryouko no Bitch na 1 nichi,18,2-10 h,3.500,f,t
v1167,r30983,Mare Mare Mare,0,10-30 h,13.000,f,t
v1169,r2217,Ren no Koi,18,10-30 h,12.000,f,f
v1170,r2219,Omoide ni Kawaru Kimi ~Memories Off~,0,10-30 h,24.733,t,f
v1171,r2223,Memories Off ~Sorekara~,15,30-50 h,30.448,t,f
v1173,r2226,Memories Off ~Sorekara Again~,12,Unknown,10.000,f,f
v1176,r2230,Angel Wish ~Houkago no Meshitsukai ni Chu!~,18,10-30 h,9.567,f,f
v1178,r2232,Mainichi ga M!,18,10-30 h,21.000,f,t
v1179,r34705,Flyable Heart,0,10-30 h,32.372,f,f
v1180,r2436,Sekai no Subete,18,10-30 h,26.000,f,f
v1182,r2236,ABANDONER - THE SEVERED DREAMS,18,10-30 h,14.000,f,f
v1183,r2237,LOST CHILD,18,10-30 h,29.500,f,f
v1187,r2244,KimiKiss,12,10-30 h,35.000,t,f
v1189,r18217,Ring Out!!,18,0-2 h,4.742,f,t
v1190,r2251,Ashita no Nanami to Au Tame ni ~Ashita no Kimi to Au Tame ni~ Fandisc,18,2-10 h,15.789,f,f
v1193,r120811,Cross Days,0,10-30 h,46.338,f,f
v1194,r21470,Yosuga no Sora,18,10-30 h,28.489,t,f
v1195,r14760,Himegari Dungeon Meister,18,50+ h,52.736,f,t
v1197,r2264,Summer Radish Vacation!!,18,10-30 h,8.333,f,f
v1198,r22020,Amber Quartz,18,10-30 h,24.500,f,f
v1199,r2269,Sakaagari Hurricane - Let's Pile Up Our School!!,18,10-30 h,37.000,f,f
v1200,r2270,Sayonara o Oshiete ~Comment te Dire Adieu~,18,10-30 h,13.118,f,f
v1201,r2271,Gensou Suikogaiden Vol. 1: Harmonia no Kenshi,0,2-10 h,5.561,f,f
v1202,r2274,Gensou Suikogaiden Vol. 2: Crystal Valley no Kettou,0,Unknown,4.373,f,f
v1203,r2279,Pandora no Yume,18,2-10 h,9.144,f,f
v1215,r2298,Purely ~Sono Semai Aozora o Miagete~,18,10-30 h,15.333,f,f
v1218,r2305,ALMA ~Zutto Soba ni...~,18,10-30 h,18.000,f,f
v1219,r2307,Chanter ~Kimi no Uta ga Todoitara~,18,10-30 h,32.667,f,f
v1227,r2316,My Tsuma,18,10-30 h,18.000,f,f
